"Plot Title: Chelsea Farm "
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21429555, SEN S/N: 21429555)","Temp, °C (LGR S/N: 21429555, SEN S/N: 21429555)"
82,04/10/23 10:37:36 AM,11.33,9.14
83,04/10/23 10:52:36 AM,11.26,9.16
84,04/10/23 11:07:36 AM,11.32,9.16
85,04/10/23 11:22:36 AM,11.25,9.22
86,04/10/23 11:37:36 AM,11.29,9.22
87,04/10/23 11:52:36 AM,11.20,9.22
88,04/10/23 12:07:36 PM,11.28,9.26
89,04/10/23 12:22:36 PM,11.80,9.38
90,04/10/23 12:37:36 PM,11.70,10.36
91,04/10/23 12:52:36 PM,11.51,11.44
92,04/10/23 01:07:36 PM,11.11,12.76
93,04/10/23 01:22:36 PM,10.94,12.08
94,04/10/23 01:37:36 PM,11.17,11.26
95,04/10/23 01:52:36 PM,11.29,10.90
96,04/10/23 02:07:36 PM,11.37,10.76
97,04/10/23 02:22:36 PM,11.36,11.00
98,04/10/23 02:37:36 PM,11.33,11.28
99,04/10/23 02:52:36 PM,11.27,11.56
100,04/10/23 03:07:36 PM,11.19,11.80
101,04/10/23 03:22:36 PM,11.15,11.98
102,04/10/23 03:37:36 PM,11.10,11.90
103,04/10/23 03:52:36 PM,11.11,11.76
104,04/10/23 04:07:36 PM,11.14,11.50
105,04/10/23 04:22:36 PM,11.25,11.20
106,04/10/23 04:37:36 PM,11.31,11.08
107,04/10/23 04:52:36 PM,11.36,11.00
108,04/10/23 05:07:36 PM,11.37,10.96
109,04/10/23 05:22:36 PM,11.32,10.92
110,04/10/23 05:37:36 PM,11.55,11.24
111,04/10/23 05:52:36 PM,11.39,12.16
112,04/10/23 06:07:36 PM,11.08,12.80
113,04/10/23 06:22:36 PM,11.02,13.06
114,04/10/23 06:37:36 PM,10.94,13.48
115,04/10/23 06:52:36 PM,10.79,13.70
116,04/10/23 07:07:36 PM,10.77,13.76
117,04/10/23 07:22:36 PM,10.74,13.68
118,04/10/23 07:37:36 PM,10.69,13.62
119,04/10/23 07:52:36 PM,10.88,14.02
120,04/10/23 08:07:36 PM,10.80,14.58
121,04/10/23 08:22:36 PM,10.75,15.20
122,04/10/23 08:37:36 PM,10.60,15.84
123,04/10/23 08:52:36 PM,10.48,16.38
124,04/10/23 09:07:36 PM,10.37,16.80
125,04/10/23 09:22:36 PM,10.26,17.18
126,04/10/23 09:37:36 PM,10.19,17.46
127,04/10/23 09:52:36 PM,10.13,17.70
128,04/10/23 10:07:36 PM,10.08,17.90
129,04/10/23 10:22:36 PM,10.02,18.04
130,04/10/23 10:37:36 PM,9.97,18.18
131,04/10/23 10:52:36 PM,9.96,18.30
132,04/10/23 11:07:36 PM,9.93,18.40
133,04/10/23 11:22:36 PM,9.89,18.48
134,04/10/23 11:37:36 PM,9.88,18.56
135,04/10/23 11:52:36 PM,9.86,18.62
136,04/11/23 12:07:36 AM,9.84,18.68
137,04/11/23 12:22:36 AM,9.84,18.72
138,04/11/23 12:37:36 AM,9.82,18.76
139,04/11/23 12:52:36 AM,9.83,18.80
140,04/11/23 01:07:36 AM,9.82,18.84
141,04/11/23 01:22:36 AM,9.82,18.86
142,04/11/23 01:37:36 AM,9.80,18.90
143,04/11/23 01:52:36 AM,9.78,18.92
144,04/11/23 02:07:36 AM,9.78,18.94
145,04/11/23 02:22:36 AM,9.81,18.98
146,04/11/23 02:37:36 AM,9.81,19.00
147,04/11/23 02:52:36 AM,9.82,19.04
148,04/11/23 03:07:36 AM,9.81,19.06
149,04/11/23 03:22:36 AM,9.81,19.06
150,04/11/23 03:37:36 AM,9.80,19.08
151,04/11/23 03:52:36 AM,9.78,19.08
152,04/11/23 04:07:36 AM,9.80,19.08
153,04/11/23 04:22:36 AM,9.78,19.10
154,04/11/23 04:37:36 AM,9.78,19.10
155,04/11/23 04:52:36 AM,9.78,19.08
156,04/11/23 05:07:36 AM,9.80,19.08
157,04/11/23 05:22:36 AM,9.78,19.08
158,04/11/23 05:37:36 AM,9.77,19.08
159,04/11/23 05:52:36 AM,9.78,19.08
160,04/11/23 06:07:36 AM,9.77,19.08
161,04/11/23 06:22:36 AM,9.78,19.08
162,04/11/23 06:37:36 AM,9.77,19.08
163,04/11/23 06:52:36 AM,9.77,19.08
164,04/11/23 07:07:36 AM,9.77,19.08
165,04/11/23 07:22:36 AM,9.77,19.08
166,04/11/23 07:37:36 AM,9.76,19.08
167,04/11/23 07:52:36 AM,9.80,19.10
168,04/11/23 08:07:36 AM,9.78,19.18
169,04/11/23 08:22:36 AM,9.77,19.24
170,04/11/23 08:37:36 AM,9.76,19.32
171,04/11/23 08:52:36 AM,9.73,19.38
172,04/11/23 09:07:36 AM,9.73,19.44
173,04/11/23 09:22:36 AM,9.67,19.44
174,04/11/23 09:37:36 AM,9.69,19.38
175,04/11/23 09:52:36 AM,9.71,19.36
176,04/11/23 10:07:36 AM,9.71,19.34
177,04/11/23 10:22:36 AM,9.73,19.36
178,04/11/23 10:37:36 AM,9.72,19.38
179,04/11/23 10:52:36 AM,9.73,19.42
180,04/11/23 11:07:36 AM,9.73,19.44
181,04/11/23 11:22:36 AM,9.72,19.44
182,04/11/23 11:37:36 AM,9.73,19.44
183,04/11/23 11:52:36 AM,9.52,19.48
184,04/11/23 12:07:36 PM,9.61,18.98
185,04/11/23 12:22:36 PM,9.67,18.74
186,04/11/23 12:37:36 PM,9.69,18.48
187,04/11/23 12:52:36 PM,10.02,17.98
188,04/11/23 01:07:36 PM,9.86,17.70
189,04/11/23 01:22:36 PM,10.24,16.94
190,04/11/23 01:37:36 PM,10.36,18.78
191,04/11/23 01:52:36 PM,9.74,20.10
192,04/11/23 02:07:36 PM,9.60,18.64
193,04/11/23 02:22:36 PM,9.84,17.26
194,04/11/23 02:37:36 PM,10.08,16.44
195,04/11/23 02:52:36 PM,10.22,16.00
196,04/11/23 03:07:36 PM,10.42,16.46
197,04/11/23 03:22:36 PM,10.19,16.58
198,04/11/23 03:37:36 PM,10.39,15.32
199,04/11/23 03:52:36 PM,10.43,14.30
200,04/11/23 04:07:36 PM,10.98,12.50
201,04/11/23 04:22:36 PM,-888.88,-888.88
202,04/11/23 04:37:36 PM,10.39,15.66
203,04/11/23 04:52:36 PM,10.84,13.94
204,04/11/23 05:07:36 PM,10.74,14.66
205,04/11/23 05:22:36 PM,10.28,16.26
206,04/11/23 05:37:36 PM,11.81,13.76
207,04/11/23 05:52:36 PM,13.83,10.42
208,04/11/23 06:07:36 PM,14.15,9.78
209,04/11/23 06:22:36 PM,14.02,9.44
210,04/11/23 06:37:36 PM,13.91,9.52
211,04/11/23 06:52:36 PM,13.81,9.46
212,04/11/23 07:07:36 PM,14.03,9.38
213,04/11/23 07:22:36 PM,13.85,9.18
214,04/11/23 07:37:36 PM,13.64,9.04
215,04/11/23 07:52:36 PM,13.52,9.04
216,04/11/23 08:07:36 PM,13.57,9.06
217,04/11/23 08:22:36 PM,13.75,9.14
218,04/11/23 08:37:36 PM,13.78,9.20
219,04/11/23 08:52:36 PM,13.57,9.24
220,04/11/23 09:07:36 PM,13.36,9.22
221,04/11/23 09:22:36 PM,13.28,9.32
222,04/11/23 09:37:36 PM,13.39,9.30
223,04/11/23 09:52:36 PM,13.40,9.14
224,04/11/23 10:07:36 PM,13.40,9.10
225,04/11/23 10:22:36 PM,13.46,9.10
226,04/11/23 10:37:36 PM,13.09,9.04
227,04/11/23 10:52:36 PM,12.95,8.94
228,04/11/23 11:07:36 PM,12.63,8.82
229,04/11/23 11:22:36 PM,12.58,8.78
230,04/11/23 11:37:36 PM,12.53,8.76
231,04/11/23 11:52:36 PM,12.80,8.76
232,04/12/23 12:07:36 AM,13.02,8.86
233,04/12/23 12:22:36 AM,12.67,8.86
234,04/12/23 12:37:36 AM,12.83,8.86
235,04/12/23 12:52:36 AM,12.35,8.84
236,04/12/23 01:07:36 AM,12.48,8.76
237,04/12/23 01:22:36 AM,12.50,8.76
238,04/12/23 01:37:36 AM,12.49,8.74
239,04/12/23 01:52:36 AM,12.34,8.74
240,04/12/23 02:07:36 AM,12.35,8.74
241,04/12/23 02:22:36 AM,12.41,8.74
242,04/12/23 02:37:36 AM,12.42,8.74
243,04/12/23 02:52:36 AM,12.43,8.74
244,04/12/23 03:07:36 AM,12.43,8.74
245,04/12/23 03:22:36 AM,12.38,8.74
246,04/12/23 03:37:36 AM,12.46,8.74
247,04/12/23 03:52:36 AM,12.49,8.72
248,04/12/23 04:07:36 AM,12.40,8.72
249,04/12/23 04:22:36 AM,12.49,8.72
250,04/12/23 04:37:36 AM,12.58,8.72
251,04/12/23 04:52:36 AM,12.36,8.72
252,04/12/23 05:07:36 AM,12.50,8.74
253,04/12/23 05:22:36 AM,12.73,8.76
254,04/12/23 05:37:36 AM,12.92,8.80
255,04/12/23 05:52:36 AM,12.92,8.80
256,04/12/23 06:07:36 AM,12.24,8.78
257,04/12/23 06:22:36 AM,11.60,8.76
258,04/12/23 06:37:36 AM,12.40,8.80
259,04/12/23 06:52:36 AM,12.45,8.80
260,04/12/23 07:07:36 AM,12.34,8.80
261,04/12/23 07:22:36 AM,11.86,8.76
262,04/12/23 07:37:36 AM,12.03,8.70
263,04/12/23 07:52:36 AM,12.20,8.68
264,04/12/23 08:07:36 AM,12.14,8.70
265,04/12/23 08:22:36 AM,11.90,8.72
266,04/12/23 08:37:36 AM,11.99,8.74
267,04/12/23 08:52:36 AM,12.12,8.74
268,04/12/23 09:07:36 AM,12.05,8.74
269,04/12/23 09:22:36 AM,12.25,8.74
270,04/12/23 09:37:36 AM,12.38,8.76
271,04/12/23 09:52:36 AM,12.45,8.78
272,04/12/23 10:07:36 AM,12.47,8.78
273,04/12/23 10:22:36 AM,12.58,8.82
274,04/12/23 10:37:36 AM,12.58,8.84
275,04/12/23 10:52:36 AM,12.74,8.90
276,04/12/23 11:07:36 AM,12.84,8.90
277,04/12/23 11:22:36 AM,12.90,8.92
278,04/12/23 11:37:36 AM,12.95,8.92
279,04/12/23 11:52:36 AM,13.02,8.94
280,04/12/23 12:07:36 PM,13.12,9.14
281,04/12/23 12:22:36 PM,13.24,9.36
282,04/12/23 12:37:36 PM,13.39,9.42
283,04/12/23 12:52:36 PM,13.42,9.58
284,04/12/23 01:07:36 PM,13.34,9.78
285,04/12/23 01:22:36 PM,13.44,9.86
286,04/12/23 01:37:36 PM,13.27,9.88
287,04/12/23 01:52:36 PM,13.39,9.88
288,04/12/23 02:07:36 PM,13.42,10.34
289,04/12/23 02:22:36 PM,13.40,10.68
290,04/12/23 02:37:36 PM,13.40,10.78
291,04/12/23 02:52:36 PM,13.40,11.16
292,04/12/23 03:07:36 PM,13.85,11.64
293,04/12/23 03:22:36 PM,13.44,12.22
294,04/12/23 03:37:36 PM,13.19,12.44
295,04/12/23 03:52:36 PM,10.76,12.02
296,04/12/23 04:07:36 PM,11.18,11.70
297,04/12/23 04:22:36 PM,11.32,10.62
298,04/12/23 04:37:36 PM,12.14,8.30
299,04/12/23 04:52:36 PM,12.28,7.88
300,04/12/23 05:07:36 PM,12.20,8.06
301,04/12/23 05:22:36 PM,12.14,8.08
302,04/12/23 05:37:36 PM,12.28,8.20
303,04/12/23 05:52:36 PM,11.69,10.32
304,04/12/23 06:07:36 PM,10.92,11.98
305,04/12/23 06:22:36 PM,11.80,10.78
306,04/12/23 06:37:36 PM,11.94,10.80
307,04/12/23 06:52:36 PM,12.97,10.60
308,04/12/23 07:07:36 PM,13.23,10.44
309,04/12/23 07:22:36 PM,12.85,10.42
310,04/12/23 07:37:36 PM,13.13,10.38
311,04/12/23 07:52:36 PM,13.27,9.92
312,04/12/23 08:07:36 PM,13.19,9.80
313,04/12/23 08:22:36 PM,13.39,9.82
314,04/12/23 08:37:36 PM,13.33,9.92
315,04/12/23 08:52:36 PM,13.44,10.14
316,04/12/23 09:07:36 PM,13.53,10.26
317,04/12/23 09:22:36 PM,13.25,9.82
318,04/12/23 09:37:36 PM,13.19,9.34
319,04/12/23 09:52:36 PM,13.23,9.14
320,04/12/23 10:07:36 PM,13.16,9.10
321,04/12/23 10:22:36 PM,13.24,9.06
322,04/12/23 10:37:36 PM,13.07,9.06
323,04/12/23 10:52:36 PM,13.00,9.06
324,04/12/23 11:07:36 PM,13.08,9.20
325,04/12/23 11:22:36 PM,13.13,9.40
326,04/12/23 11:37:36 PM,13.21,9.16
327,04/12/23 11:52:36 PM,13.21,9.08
328,04/13/23 12:07:36 AM,13.18,9.04
329,04/13/23 12:22:36 AM,13.09,9.00
330,04/13/23 12:37:36 AM,12.96,8.96
331,04/13/23 12:52:36 AM,12.88,8.90
332,04/13/23 01:07:36 AM,12.74,8.88
333,04/13/23 01:22:36 AM,12.49,8.86
334,04/13/23 01:37:36 AM,12.59,8.82
335,04/13/23 01:52:36 AM,12.49,8.84
336,04/13/23 02:07:36 AM,12.55,8.84
337,04/13/23 02:22:36 AM,12.58,8.80
338,04/13/23 02:37:36 AM,12.53,8.82
339,04/13/23 02:52:36 AM,12.56,8.80
340,04/13/23 03:07:36 AM,12.38,8.76
341,04/13/23 03:22:36 AM,12.31,8.76
342,04/13/23 03:37:36 AM,12.87,8.80
343,04/13/23 03:52:36 AM,13.03,8.88
344,04/13/23 04:07:36 AM,13.01,8.96
345,04/13/23 04:22:36 AM,13.09,8.98
346,04/13/23 04:37:36 AM,13.14,8.96
347,04/13/23 04:52:36 AM,13.11,8.94
348,04/13/23 05:07:36 AM,13.10,8.94
349,04/13/23 05:22:36 AM,13.06,8.94
350,04/13/23 05:37:36 AM,13.05,8.90
351,04/13/23 05:52:36 AM,13.01,8.86
352,04/13/23 06:07:36 AM,12.93,8.86
353,04/13/23 06:22:36 AM,12.84,8.92
354,04/13/23 06:37:36 AM,13.08,8.92
355,04/13/23 06:52:36 AM,13.13,9.00
356,04/13/23 07:07:36 AM,13.22,9.04
357,04/13/23 07:22:36 AM,13.10,9.04
358,04/13/23 07:37:36 AM,13.22,9.08
359,04/13/23 07:52:36 AM,13.22,9.10
360,04/13/23 08:07:36 AM,11.92,8.94
361,04/13/23 08:22:36 AM,12.22,8.84
362,04/13/23 08:37:36 AM,11.91,8.84
363,04/13/23 08:52:36 AM,12.24,8.78
364,04/13/23 09:07:36 AM,11.99,8.82
365,04/13/23 09:22:36 AM,11.96,8.82
366,04/13/23 09:37:36 AM,11.50,8.82
367,04/13/23 09:52:36 AM,12.17,8.88
368,04/13/23 10:07:36 AM,12.11,8.94
369,04/13/23 10:22:36 AM,12.21,8.96
370,04/13/23 10:37:36 AM,12.34,8.98
371,04/13/23 10:52:36 AM,12.58,8.96
372,04/13/23 11:07:36 AM,12.63,8.94
373,04/13/23 11:22:36 AM,12.76,8.88
374,04/13/23 11:37:36 AM,12.66,8.88
375,04/13/23 11:52:36 AM,12.51,8.94
376,04/13/23 12:07:36 PM,12.84,8.96
377,04/13/23 12:22:36 PM,12.93,9.00
378,04/13/23 12:37:36 PM,13.00,9.08
379,04/13/23 12:52:36 PM,12.90,9.08
380,04/13/23 01:07:36 PM,12.99,9.06
381,04/13/23 01:22:36 PM,13.14,9.12
382,04/13/23 01:37:36 PM,13.38,9.36
383,04/13/23 01:52:36 PM,13.44,9.38
384,04/13/23 02:07:36 PM,13.46,9.44
385,04/13/23 02:22:36 PM,13.48,9.50
386,04/13/23 02:37:36 PM,13.49,9.54
387,04/13/23 02:52:36 PM,13.41,9.54
388,04/13/23 03:07:36 PM,13.50,9.34
389,04/13/23 03:22:36 PM,13.37,9.50
390,04/13/23 03:37:36 PM,13.49,9.52
391,04/13/23 03:52:36 PM,13.58,9.52
392,04/13/23 04:07:36 PM,13.76,9.76
393,04/13/23 04:22:36 PM,13.48,10.14
394,04/13/23 04:37:36 PM,13.36,10.30
395,04/13/23 04:52:36 PM,13.73,10.86
396,04/13/23 05:07:36 PM,12.82,10.62
397,04/13/23 05:22:36 PM,11.73,8.60
398,04/13/23 05:37:36 PM,12.01,7.88
399,04/13/23 05:52:36 PM,12.31,7.28
400,04/13/23 06:07:36 PM,12.37,7.34
401,04/13/23 06:22:36 PM,12.27,7.66
402,04/13/23 06:37:36 PM,12.30,7.42
403,04/13/23 06:52:36 PM,12.42,7.28
404,04/13/23 07:07:36 PM,12.42,7.26
405,04/13/23 07:22:36 PM,13.81,7.64
406,04/13/23 07:37:36 PM,13.60,9.44
407,04/13/23 07:52:36 PM,14.43,9.42
408,04/13/23 08:07:36 PM,14.79,9.42
409,04/13/23 08:22:36 PM,13.98,9.40
410,04/13/23 08:37:36 PM,13.64,9.30
411,04/13/23 08:52:36 PM,13.39,9.32
412,04/13/23 09:07:36 PM,13.54,9.28
413,04/13/23 09:22:36 PM,13.63,9.26
414,04/13/23 09:37:36 PM,13.83,9.38
415,04/13/23 09:52:36 PM,13.63,9.34
416,04/13/23 10:07:36 PM,13.76,9.40
417,04/13/23 10:22:36 PM,13.77,9.38
418,04/13/23 10:37:36 PM,13.70,9.40
419,04/13/23 10:52:36 PM,13.59,9.38
420,04/13/23 11:07:36 PM,13.50,9.36
421,04/13/23 11:22:36 PM,13.52,9.34
422,04/13/23 11:37:36 PM,13.53,9.30
423,04/13/23 11:52:36 PM,13.55,9.24
424,04/14/23 12:07:36 AM,13.39,9.18
425,04/14/23 12:22:36 AM,13.22,9.14
426,04/14/23 12:37:36 AM,13.11,9.12
427,04/14/23 12:52:36 AM,12.72,8.96
428,04/14/23 01:07:36 AM,12.77,8.90
429,04/14/23 01:22:36 AM,12.64,8.86
430,04/14/23 01:37:36 AM,12.56,8.84
431,04/14/23 01:52:36 AM,12.63,8.84
432,04/14/23 02:07:36 AM,12.55,8.82
433,04/14/23 02:22:36 AM,12.50,8.80
434,04/14/23 02:37:36 AM,12.49,8.80
435,04/14/23 02:52:36 AM,12.18,8.74
436,04/14/23 03:07:36 AM,12.27,8.74
437,04/14/23 03:22:36 AM,12.28,8.74
438,04/14/23 03:37:36 AM,12.23,8.74
439,04/14/23 03:52:36 AM,12.28,8.74
440,04/14/23 04:07:36 AM,12.22,8.74
441,04/14/23 04:22:36 AM,12.19,8.74
442,04/14/23 04:37:36 AM,12.22,8.74
443,04/14/23 04:52:36 AM,12.29,8.74
444,04/14/23 05:07:36 AM,12.36,8.74
445,04/14/23 05:22:36 AM,12.37,8.76
446,04/14/23 05:37:36 AM,12.37,8.76
447,04/14/23 05:52:36 AM,12.37,8.76
448,04/14/23 06:07:36 AM,12.33,8.76
449,04/14/23 06:22:36 AM,12.33,8.78
450,04/14/23 06:37:36 AM,12.48,8.80
451,04/14/23 06:52:36 AM,12.99,8.88
452,04/14/23 07:07:36 AM,13.06,8.90
453,04/14/23 07:22:36 AM,13.26,8.98
454,04/14/23 07:37:36 AM,13.34,9.06
455,04/14/23 07:52:36 AM,13.32,9.08
456,04/14/23 08:07:36 AM,13.27,9.08
457,04/14/23 08:22:36 AM,13.08,9.06
458,04/14/23 08:37:36 AM,12.90,9.04
459,04/14/23 08:52:36 AM,13.64,9.14
460,04/14/23 09:07:36 AM,12.67,9.14
461,04/14/23 09:22:36 AM,13.13,9.10
462,04/14/23 09:37:36 AM,12.43,9.06
463,04/14/23 09:52:36 AM,12.23,8.96
464,04/14/23 10:07:36 AM,12.16,8.90
465,04/14/23 10:22:36 AM,12.05,8.80
466,04/14/23 10:37:36 AM,12.11,8.78
467,04/14/23 10:52:36 AM,12.18,8.76
468,04/14/23 11:07:36 AM,12.14,8.76
469,04/14/23 11:22:36 AM,12.15,8.76
470,04/14/23 11:37:36 AM,12.25,8.80
471,04/14/23 11:52:36 AM,12.20,8.88
472,04/14/23 12:07:36 PM,12.50,8.98
473,04/14/23 12:22:36 PM,12.82,8.96
474,04/14/23 12:37:36 PM,12.93,9.04
475,04/14/23 12:52:36 PM,13.01,9.14
476,04/14/23 01:07:36 PM,13.09,9.28
477,04/14/23 01:22:36 PM,13.52,9.32
478,04/14/23 01:37:36 PM,13.60,9.26
479,04/14/23 01:52:36 PM,13.68,9.26
480,04/14/23 02:07:36 PM,13.98,9.34
481,04/14/23 02:22:36 PM,14.04,9.38
482,04/14/23 02:37:36 PM,14.10,9.42
483,04/14/23 02:52:36 PM,14.07,9.44
484,04/14/23 03:07:36 PM,14.30,9.54
485,04/14/23 03:22:36 PM,14.45,9.86
486,04/14/23 03:37:36 PM,14.25,10.58
487,04/14/23 03:52:36 PM,14.00,10.78
488,04/14/23 04:07:36 PM,14.62,10.86
489,04/14/23 04:22:36 PM,14.51,10.62
490,04/14/23 04:37:36 PM,14.40,10.88
491,04/14/23 04:52:36 PM,14.09,11.26
492,04/14/23 05:07:36 PM,13.76,11.40
493,04/14/23 05:22:36 PM,13.68,11.46
494,04/14/23 05:37:36 PM,13.73,11.46
495,04/14/23 05:52:36 PM,13.60,11.58
496,04/14/23 06:07:36 PM,12.75,11.68
497,04/14/23 06:22:36 PM,12.62,11.86
498,04/14/23 06:37:36 PM,11.38,11.18
499,04/14/23 06:52:36 PM,11.04,11.26
500,04/14/23 07:07:36 PM,11.27,10.86
501,04/14/23 07:22:36 PM,11.49,10.20
502,04/14/23 07:37:36 PM,11.76,9.50
503,04/14/23 07:52:36 PM,11.95,8.86
504,04/14/23 08:07:36 PM,12.15,8.26
505,04/14/23 08:22:36 PM,12.31,7.82
506,04/14/23 08:37:36 PM,14.15,9.22
507,04/14/23 08:52:36 PM,13.42,10.82
508,04/14/23 09:07:36 PM,13.32,11.02
509,04/14/23 09:22:36 PM,13.22,11.00
510,04/14/23 09:37:36 PM,12.87,10.96
511,04/14/23 09:52:36 PM,12.98,10.90
512,04/14/23 10:07:36 PM,13.13,10.80
513,04/14/23 10:22:36 PM,13.31,10.68
514,04/14/23 10:37:36 PM,13.54,10.50
515,04/14/23 10:52:36 PM,13.54,10.34
516,04/14/23 11:07:36 PM,13.62,10.08
517,04/14/23 11:22:36 PM,13.61,9.88
518,04/14/23 11:37:36 PM,13.55,9.62
519,04/14/23 11:52:36 PM,13.57,9.44
520,04/15/23 12:07:36 AM,13.58,9.38
521,04/15/23 12:22:36 AM,13.53,9.34
522,04/15/23 12:37:36 AM,13.49,9.28
523,04/15/23 12:52:36 AM,13.41,9.26
524,04/15/23 01:07:36 AM,13.35,9.22
525,04/15/23 01:22:36 AM,13.45,9.30
526,04/15/23 01:37:36 AM,13.54,9.30
527,04/15/23 01:52:36 AM,13.52,9.24
528,04/15/23 02:07:36 AM,13.49,9.22
529,04/15/23 02:22:36 AM,13.40,9.18
530,04/15/23 02:37:36 AM,13.39,9.14
531,04/15/23 02:52:36 AM,13.26,9.08
532,04/15/23 03:07:36 AM,13.24,9.04
533,04/15/23 03:22:36 AM,13.06,9.00
534,04/15/23 03:37:36 AM,13.08,8.96
535,04/15/23 03:52:36 AM,13.10,8.96
536,04/15/23 04:07:36 AM,13.06,8.94
537,04/15/23 04:22:36 AM,12.92,8.94
538,04/15/23 04:37:36 AM,12.95,8.92
539,04/15/23 04:52:36 AM,12.87,8.90
540,04/15/23 05:07:36 AM,12.72,8.88
541,04/15/23 05:22:36 AM,12.66,8.86
542,04/15/23 05:37:36 AM,12.59,8.86
543,04/15/23 05:52:36 AM,12.53,8.84
544,04/15/23 06:07:36 AM,12.55,8.84
545,04/15/23 06:22:36 AM,12.59,8.84
546,04/15/23 06:37:36 AM,12.57,8.84
547,04/15/23 06:52:36 AM,12.57,8.86
548,04/15/23 07:07:36 AM,12.60,8.88
549,04/15/23 07:22:36 AM,12.60,8.90
550,04/15/23 07:37:36 AM,12.57,8.90
551,04/15/23 07:52:36 AM,12.76,8.92
