"Plot Title: Chel_DO_Sep24_Deploy"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21837005, SEN S/N: 21837005, LBL: DO)","Temp, °C (LGR S/N: 21837005, SEN S/N: 21837005, LBL: Temp)"
176,09/18/24 08:45:00 AM,7.68,15.18
177,09/18/24 09:00:00 AM,6.94,15.16
178,09/18/24 09:15:00 AM,6.55,15.18
179,09/18/24 09:30:00 AM,7.08,15.20
180,09/18/24 09:45:00 AM,7.54,15.32
181,09/18/24 10:00:00 AM,7.25,15.38
182,09/18/24 10:15:00 AM,7.68,15.42
183,09/18/24 10:30:00 AM,7.06,15.48
184,09/18/24 10:45:00 AM,7.29,15.56
185,09/18/24 11:00:00 AM,6.91,15.66
186,09/18/24 11:15:00 AM,6.78,15.78
187,09/18/24 11:30:00 AM,4.58,15.86
188,09/18/24 11:45:00 AM,6.98,15.92
189,09/18/24 12:00:00 PM,1.42,17.48
190,09/18/24 12:15:00 PM,1.55,19.88
191,09/18/24 12:30:00 PM,2.42,20.12
192,09/18/24 12:45:00 PM,2.56,21.14
193,09/18/24 01:00:00 PM,3.01,21.08
194,09/18/24 01:15:00 PM,3.15,22.34
195,09/18/24 01:30:00 PM,6.15,19.02
196,09/18/24 01:45:00 PM,7.08,16.84
197,09/18/24 02:00:00 PM,9.16,16.66
198,09/18/24 02:15:00 PM,8.77,16.94
199,09/18/24 02:30:00 PM,7.82,16.94
200,09/18/24 02:45:00 PM,7.17,16.64
201,09/18/24 03:00:00 PM,7.09,15.90
202,09/18/24 03:15:00 PM,6.98,15.70
203,09/18/24 03:30:00 PM,6.32,15.52
204,09/18/24 03:45:00 PM,6.63,15.48
205,09/18/24 04:00:00 PM,5.48,15.40
206,09/18/24 04:15:00 PM,4.77,15.44
207,09/18/24 04:30:00 PM,5.53,15.48
208,09/18/24 04:45:00 PM,6.83,15.94
209,09/18/24 05:00:00 PM,5.00,15.72
210,09/18/24 05:15:00 PM,4.63,15.64
211,09/18/24 05:30:00 PM,3.57,15.64
212,09/18/24 05:45:00 PM,4.88,15.46
213,09/18/24 06:00:00 PM,5.18,15.42
214,09/18/24 06:15:00 PM,4.51,15.28
215,09/18/24 06:30:00 PM,3.32,15.20
216,09/18/24 06:45:00 PM,4.15,15.20
217,09/18/24 07:00:00 PM,5.38,15.20
218,09/18/24 07:15:00 PM,6.92,15.24
219,09/18/24 07:30:00 PM,6.30,15.24
220,09/18/24 07:45:00 PM,7.70,15.22
221,09/18/24 08:00:00 PM,8.62,15.18
222,09/18/24 08:15:00 PM,9.11,15.16
223,09/18/24 08:30:00 PM,9.02,15.16
224,09/18/24 08:45:00 PM,9.12,15.16
225,09/18/24 09:00:00 PM,9.16,15.18
226,09/18/24 09:15:00 PM,8.64,15.18
227,09/18/24 09:30:00 PM,8.77,15.18
228,09/18/24 09:45:00 PM,8.51,15.18
229,09/18/24 10:00:00 PM,8.73,15.22
230,09/18/24 10:15:00 PM,8.63,15.26
231,09/18/24 10:30:00 PM,9.29,15.36
232,09/18/24 10:45:00 PM,9.34,15.42
233,09/18/24 11:00:00 PM,9.39,15.44
234,09/18/24 11:15:00 PM,9.51,15.48
235,09/18/24 11:30:00 PM,9.28,15.50
236,09/18/24 11:45:00 PM,9.02,15.48
237,09/19/24 12:00:00 AM,8.74,15.46
238,09/19/24 12:15:00 AM,8.09,15.46
239,09/19/24 12:30:00 AM,7.40,15.48
240,09/19/24 12:45:00 AM,6.01,15.52
241,09/19/24 01:00:00 AM,5.67,15.54
242,09/19/24 01:15:00 AM,5.31,15.52
243,09/19/24 01:30:00 AM,5.63,15.50
244,09/19/24 01:45:00 AM,6.62,15.52
245,09/19/24 02:00:00 AM,6.71,15.50
246,09/19/24 02:15:00 AM,7.43,15.34
247,09/19/24 02:30:00 AM,9.37,15.52
248,09/19/24 02:45:00 AM,10.22,15.82
249,09/19/24 03:00:00 AM,10.28,15.90
250,09/19/24 03:15:00 AM,9.90,15.88
251,09/19/24 03:30:00 AM,6.95,15.52
252,09/19/24 03:45:00 AM,8.02,15.40
253,09/19/24 04:00:00 AM,8.43,15.34
254,09/19/24 04:15:00 AM,7.86,15.30
255,09/19/24 04:30:00 AM,7.74,15.28
256,09/19/24 04:45:00 AM,7.23,15.30
257,09/19/24 05:00:00 AM,6.92,15.32
258,09/19/24 05:15:00 AM,6.22,15.30
259,09/19/24 05:30:00 AM,7.26,15.30
260,09/19/24 05:45:00 AM,7.01,15.28
261,09/19/24 06:00:00 AM,6.46,15.24
262,09/19/24 06:15:00 AM,7.79,15.24
263,09/19/24 06:30:00 AM,8.12,15.22
264,09/19/24 06:45:00 AM,8.28,15.22
265,09/19/24 07:00:00 AM,8.17,15.18
266,09/19/24 07:15:00 AM,8.44,15.16
267,09/19/24 07:30:00 AM,8.55,15.12
268,09/19/24 07:45:00 AM,8.37,15.08
269,09/19/24 08:00:00 AM,8.22,15.08
270,09/19/24 08:15:00 AM,8.18,15.08
271,09/19/24 08:30:00 AM,7.69,15.08
272,09/19/24 08:45:00 AM,6.90,15.10
273,09/19/24 09:00:00 AM,8.78,15.14
274,09/19/24 09:15:00 AM,9.03,15.20
275,09/19/24 09:30:00 AM,9.10,15.24
276,09/19/24 09:45:00 AM,8.99,15.22
277,09/19/24 10:00:00 AM,8.96,15.22
278,09/19/24 10:15:00 AM,8.86,15.28
279,09/19/24 10:30:00 AM,9.20,15.32
280,09/19/24 10:45:00 AM,9.44,15.44
281,09/19/24 11:00:00 AM,10.24,15.60
282,09/19/24 11:15:00 AM,10.62,15.68
283,09/19/24 11:30:00 AM,10.69,15.74
284,09/19/24 11:45:00 AM,10.28,15.82
285,09/19/24 12:00:00 PM,10.50,15.94
286,09/19/24 12:15:00 PM,10.79,16.08
287,09/19/24 12:30:00 PM,10.79,16.34
288,09/19/24 12:45:00 PM,8.77,16.62
289,09/19/24 01:00:00 PM,10.77,16.90
290,09/19/24 01:15:00 PM,10.98,17.42
291,09/19/24 01:30:00 PM,10.82,17.56
292,09/19/24 01:45:00 PM,10.18,17.34
293,09/19/24 02:00:00 PM,9.67,17.04
294,09/19/24 02:15:00 PM,9.96,16.72
295,09/19/24 02:30:00 PM,10.52,16.44
296,09/19/24 02:45:00 PM,9.74,16.40
297,09/19/24 03:00:00 PM,10.13,16.48
298,09/19/24 03:15:00 PM,9.20,16.50
299,09/19/24 03:30:00 PM,8.12,16.36
300,09/19/24 03:45:00 PM,7.68,15.62
301,09/19/24 04:00:00 PM,6.88,15.44
302,09/19/24 04:15:00 PM,6.59,15.34
303,09/19/24 04:30:00 PM,6.92,15.32
304,09/19/24 04:45:00 PM,6.83,15.32
305,09/19/24 05:00:00 PM,6.75,15.32
306,09/19/24 05:15:00 PM,5.99,15.30
307,09/19/24 05:30:00 PM,6.75,15.28
308,09/19/24 05:45:00 PM,5.49,15.26
309,09/19/24 06:00:00 PM,6.57,15.28
310,09/19/24 06:15:00 PM,7.02,15.32
311,09/19/24 06:30:00 PM,6.78,15.34
312,09/19/24 06:45:00 PM,7.03,15.22
313,09/19/24 07:00:00 PM,6.17,15.14
314,09/19/24 07:15:00 PM,7.10,15.16
315,09/19/24 07:30:00 PM,5.99,15.16
316,09/19/24 07:45:00 PM,6.59,15.18
317,09/19/24 08:00:00 PM,8.11,15.22
318,09/19/24 08:15:00 PM,8.82,15.16
319,09/19/24 08:30:00 PM,8.30,15.12
320,09/19/24 08:45:00 PM,8.86,15.10
321,09/19/24 09:00:00 PM,8.80,15.08
322,09/19/24 09:15:00 PM,8.61,15.08
323,09/19/24 09:30:00 PM,8.48,15.10
324,09/19/24 09:45:00 PM,8.81,15.12
325,09/19/24 10:00:00 PM,8.93,15.14
326,09/19/24 10:15:00 PM,8.88,15.12
327,09/19/24 10:30:00 PM,8.80,15.10
328,09/19/24 10:45:00 PM,8.68,15.10
329,09/19/24 11:00:00 PM,8.61,15.08
330,09/19/24 11:15:00 PM,9.14,15.14
331,09/19/24 11:30:00 PM,9.10,15.16
332,09/19/24 11:45:00 PM,8.72,15.12
333,09/20/24 12:00:00 AM,8.55,15.08
334,09/20/24 12:15:00 AM,8.11,15.02
335,09/20/24 12:30:00 AM,7.24,14.98
336,09/20/24 12:45:00 AM,7.27,14.88
337,09/20/24 01:00:00 AM,6.39,14.84
338,09/20/24 01:15:00 AM,7.52,13.56
339,09/20/24 01:30:00 AM,3.60,12.80
340,09/20/24 01:45:00 AM,3.81,12.66
341,09/20/24 02:00:00 AM,3.73,12.58
342,09/20/24 02:15:00 AM,4.93,12.22
343,09/20/24 02:30:00 AM,6.34,11.94
344,09/20/24 02:45:00 AM,7.53,12.04
345,09/20/24 03:00:00 AM,3.72,13.68
346,09/20/24 03:15:00 AM,5.72,14.68
347,09/20/24 03:30:00 AM,7.87,15.00
348,09/20/24 03:45:00 AM,8.19,15.32
349,09/20/24 04:00:00 AM,8.51,15.38
350,09/20/24 04:15:00 AM,7.39,15.12
351,09/20/24 04:30:00 AM,7.37,15.04
352,09/20/24 04:45:00 AM,5.56,15.12
353,09/20/24 05:00:00 AM,4.67,15.14
354,09/20/24 05:15:00 AM,5.78,15.20
355,09/20/24 05:30:00 AM,7.14,15.22
356,09/20/24 05:45:00 AM,6.30,15.24
357,09/20/24 06:00:00 AM,4.70,15.20
358,09/20/24 06:15:00 AM,5.26,15.22
359,09/20/24 06:30:00 AM,5.94,15.22
360,09/20/24 06:45:00 AM,6.73,15.22
361,09/20/24 07:00:00 AM,5.79,15.24
362,09/20/24 07:15:00 AM,6.32,15.26
363,09/20/24 07:30:00 AM,6.68,15.28
364,09/20/24 07:45:00 AM,5.82,15.24
365,09/20/24 08:00:00 AM,5.94,15.24
366,09/20/24 08:15:00 AM,6.13,15.24
367,09/20/24 08:30:00 AM,6.78,15.18
368,09/20/24 08:45:00 AM,6.52,15.16
369,09/20/24 09:00:00 AM,6.90,15.16
370,09/20/24 09:15:00 AM,5.95,15.16
371,09/20/24 09:30:00 AM,6.31,15.16
372,09/20/24 09:45:00 AM,7.70,15.16
373,09/20/24 10:00:00 AM,7.35,15.18
374,09/20/24 10:15:00 AM,6.66,15.18
375,09/20/24 10:30:00 AM,6.75,15.20
376,09/20/24 10:45:00 AM,6.55,15.22
377,09/20/24 11:00:00 AM,6.09,15.22
378,09/20/24 11:15:00 AM,6.28,15.22
379,09/20/24 11:30:00 AM,6.18,15.22
380,09/20/24 11:45:00 AM,5.95,15.22
381,09/20/24 12:00:00 PM,6.26,15.24
382,09/20/24 12:15:00 PM,7.03,15.30
383,09/20/24 12:30:00 PM,7.42,15.42
384,09/20/24 12:45:00 PM,7.22,15.54
385,09/20/24 01:00:00 PM,9.17,15.62
386,09/20/24 01:15:00 PM,9.49,15.70
387,09/20/24 01:30:00 PM,8.84,15.78
388,09/20/24 01:45:00 PM,10.07,15.96
389,09/20/24 02:00:00 PM,8.62,16.06
390,09/20/24 02:15:00 PM,7.28,16.06
391,09/20/24 02:30:00 PM,9.03,16.18
392,09/20/24 02:45:00 PM,9.12,16.28
393,09/20/24 03:00:00 PM,9.25,16.30
394,09/20/24 03:15:00 PM,6.74,16.80
395,09/20/24 03:30:00 PM,6.32,16.84
396,09/20/24 03:45:00 PM,6.04,16.84
397,09/20/24 04:00:00 PM,6.28,16.48
398,09/20/24 04:15:00 PM,5.21,16.10
399,09/20/24 04:30:00 PM,5.48,15.56
400,09/20/24 04:45:00 PM,4.97,15.26
401,09/20/24 05:00:00 PM,5.26,15.18
402,09/20/24 05:15:00 PM,5.26,15.10
403,09/20/24 05:30:00 PM,5.64,15.12
404,09/20/24 05:45:00 PM,5.70,15.10
405,09/20/24 06:00:00 PM,6.38,15.14
406,09/20/24 06:15:00 PM,5.74,15.46
407,09/20/24 06:30:00 PM,5.61,15.52
408,09/20/24 06:45:00 PM,4.45,15.50
409,09/20/24 07:00:00 PM,4.44,15.40
410,09/20/24 07:15:00 PM,4.87,15.36
411,09/20/24 07:30:00 PM,5.63,15.32
412,09/20/24 07:45:00 PM,8.81,15.28
413,09/20/24 08:00:00 PM,8.40,15.24
414,09/20/24 08:15:00 PM,6.93,15.20
415,09/20/24 08:30:00 PM,8.12,15.14
416,09/20/24 08:45:00 PM,8.08,15.06
417,09/20/24 09:00:00 PM,8.52,15.06
418,09/20/24 09:15:00 PM,8.88,15.08
419,09/20/24 09:30:00 PM,8.99,15.10
420,09/20/24 09:45:00 PM,9.08,15.24
421,09/20/24 10:00:00 PM,9.21,15.30
422,09/20/24 10:15:00 PM,9.57,15.38
423,09/20/24 10:30:00 PM,10.18,15.46
424,09/20/24 10:45:00 PM,10.56,15.58
425,09/20/24 11:00:00 PM,10.77,15.84
426,09/20/24 11:15:00 PM,11.01,16.12
427,09/20/24 11:30:00 PM,10.51,15.98
428,09/20/24 11:45:00 PM,10.16,15.78
429,09/21/24 12:00:00 AM,10.04,15.74
430,09/21/24 12:15:00 AM,10.01,15.72
431,09/21/24 12:30:00 AM,9.85,15.70
432,09/21/24 12:45:00 AM,9.33,15.62
433,09/21/24 01:00:00 AM,8.50,15.54
434,09/21/24 01:15:00 AM,5.84,15.46
435,09/21/24 01:30:00 AM,7.31,12.68
436,09/21/24 01:45:00 AM,7.57,11.14
437,09/21/24 02:00:00 AM,7.62,10.72
438,09/21/24 02:15:00 AM,7.54,10.46
439,09/21/24 02:30:00 AM,7.68,10.24
440,09/21/24 02:45:00 AM,7.62,10.06
441,09/21/24 03:00:00 AM,8.01,9.82
442,09/21/24 03:15:00 AM,8.53,9.62
443,09/21/24 03:30:00 AM,8.74,9.56
444,09/21/24 03:45:00 AM,7.49,9.46
445,09/21/24 04:00:00 AM,7.35,9.42
446,09/21/24 04:15:00 AM,7.26,14.24
447,09/21/24 04:30:00 AM,6.23,14.80
448,09/21/24 04:45:00 AM,7.78,15.02
449,09/21/24 05:00:00 AM,7.48,15.02
450,09/21/24 05:15:00 AM,6.74,14.58
451,09/21/24 05:30:00 AM,7.91,14.76
452,09/21/24 05:45:00 AM,8.25,14.94
453,09/21/24 06:00:00 AM,8.40,14.94
454,09/21/24 06:15:00 AM,9.03,15.08
455,09/21/24 06:30:00 AM,6.22,15.10
456,09/21/24 06:45:00 AM,7.19,15.10
457,09/21/24 07:00:00 AM,7.34,15.12
458,09/21/24 07:15:00 AM,7.60,15.06
459,09/21/24 07:30:00 AM,7.73,14.96
460,09/21/24 07:45:00 AM,7.42,14.86
461,09/21/24 08:00:00 AM,7.02,14.96
462,09/21/24 08:15:00 AM,7.71,15.06
463,09/21/24 08:30:00 AM,8.45,15.16
464,09/21/24 08:45:00 AM,8.39,15.14
465,09/21/24 09:00:00 AM,8.10,15.18
466,09/21/24 09:15:00 AM,8.80,15.16
467,09/21/24 09:30:00 AM,8.74,15.10
468,09/21/24 09:45:00 AM,8.28,15.10
469,09/21/24 10:00:00 AM,8.54,15.10
470,09/21/24 10:15:00 AM,8.57,15.10
471,09/21/24 10:30:00 AM,8.57,15.08
472,09/21/24 10:45:00 AM,8.80,15.10
473,09/21/24 11:00:00 AM,9.06,15.12
474,09/21/24 11:15:00 AM,9.27,15.14
475,09/21/24 11:30:00 AM,9.24,15.16
476,09/21/24 11:45:00 AM,9.07,15.16
477,09/21/24 12:00:00 PM,9.38,15.18
478,09/21/24 12:15:00 PM,8.85,15.18
479,09/21/24 12:30:00 PM,9.45,15.20
480,09/21/24 12:45:00 PM,9.57,15.26
481,09/21/24 01:00:00 PM,9.74,15.30
482,09/21/24 01:15:00 PM,9.93,15.44
483,09/21/24 01:30:00 PM,10.31,16.08
484,09/21/24 01:45:00 PM,10.13,16.34
485,09/21/24 02:00:00 PM,8.53,16.58
486,09/21/24 02:15:00 PM,9.33,16.80
487,09/21/24 02:30:00 PM,8.73,16.70
488,09/21/24 02:45:00 PM,8.06,16.20
489,09/21/24 03:00:00 PM,8.67,15.88
490,09/21/24 03:15:00 PM,8.52,15.74
491,09/21/24 03:30:00 PM,9.63,15.68
492,09/21/24 03:45:00 PM,9.58,15.66
493,09/21/24 04:00:00 PM,9.46,15.52
494,09/21/24 04:15:00 PM,9.80,15.44
495,09/21/24 04:30:00 PM,9.27,15.56
496,09/21/24 04:45:00 PM,9.12,15.58
497,09/21/24 05:00:00 PM,8.37,15.50
498,09/21/24 05:15:00 PM,8.38,15.42
499,09/21/24 05:30:00 PM,9.06,15.30
500,09/21/24 05:45:00 PM,7.97,15.12
501,09/21/24 06:00:00 PM,7.93,15.08
502,09/21/24 06:15:00 PM,7.12,15.06
503,09/21/24 06:30:00 PM,7.02,15.06
504,09/21/24 06:45:00 PM,8.74,15.24
505,09/21/24 07:00:00 PM,8.50,15.24
506,09/21/24 07:15:00 PM,8.91,15.28
507,09/21/24 07:30:00 PM,8.46,15.22
508,09/21/24 07:45:00 PM,7.84,15.16
509,09/21/24 08:00:00 PM,8.50,15.10
510,09/21/24 08:15:00 PM,8.20,15.04
511,09/21/24 08:30:00 PM,8.57,15.00
512,09/21/24 08:45:00 PM,8.46,14.98
513,09/21/24 09:00:00 PM,8.51,14.98
514,09/21/24 09:15:00 PM,8.56,14.98
515,09/21/24 09:30:00 PM,8.68,14.98
516,09/21/24 09:45:00 PM,8.91,15.08
517,09/21/24 10:00:00 PM,9.25,15.20
518,09/21/24 10:15:00 PM,9.99,15.34
519,09/21/24 10:30:00 PM,9.87,15.36
520,09/21/24 10:45:00 PM,9.89,15.34
521,09/21/24 11:00:00 PM,9.87,15.40
522,09/21/24 11:15:00 PM,10.07,15.52
523,09/21/24 11:30:00 PM,10.12,15.72
524,09/21/24 11:45:00 PM,10.26,15.76
525,09/22/24 12:00:00 AM,10.27,15.82
526,09/22/24 12:15:00 AM,10.39,15.78
527,09/22/24 12:30:00 AM,10.17,15.76
528,09/22/24 12:45:00 AM,10.15,15.74
529,09/22/24 01:00:00 AM,10.19,15.70
530,09/22/24 01:15:00 AM,9.56,15.60
531,09/22/24 01:30:00 AM,8.55,15.46
532,09/22/24 01:45:00 AM,7.16,15.32
533,09/22/24 02:00:00 AM,4.68,13.36
534,09/22/24 02:15:00 AM,11.11,11.34
535,09/22/24 02:30:00 AM,11.29,10.84
536,09/22/24 02:45:00 AM,11.34,10.70
537,09/22/24 03:00:00 AM,11.37,10.58
538,09/22/24 03:15:00 AM,11.42,10.46
539,09/22/24 03:30:00 AM,11.44,10.28
540,09/22/24 03:45:00 AM,11.51,10.12
541,09/22/24 04:00:00 AM,11.51,10.12
542,09/22/24 04:15:00 AM,11.54,10.04
543,09/22/24 04:30:00 AM,11.54,9.98
544,09/22/24 04:45:00 AM,11.58,9.92
545,09/22/24 05:00:00 AM,6.94,13.24
546,09/22/24 05:15:00 AM,7.45,14.70
547,09/22/24 05:30:00 AM,8.72,15.04
548,09/22/24 05:45:00 AM,7.89,15.08
549,09/22/24 06:00:00 AM,6.11,14.56
550,09/22/24 06:15:00 AM,7.44,14.68
